"","mod","ll","sig","regg"
"988","1,1,3,2,0,3,24",194.390652846636,0.010720344091482,"3,5"
"1923","2,1,3,0,0,0,12",194.364365915355,0.0107228055526114,"2,3"
"1931","2,1,3,0,0,0,24",194.364365915355,0.0107228055526114,"2,3"
"2528","3,1,1,2,0,3,24",194.320202105014,0.0107269422451087,"2,5"
"2128","2,1,3,2,0,0,24",194.196095778996,0.010738575460295,"2,5"
"2228","2,1,3,3,0,3,12",194.156554509636,0.0107422845452869,"3,5"
"3288","3,1,3,2,0,3,12",194.148669297643,0.0107430243540875,"2,5"
"604","1,1,2,2,0,3,24",194.116062690458,0.0107460841222714,"3,5"
"2909","3,1,2,2,0,3,24",194.09087926078,0.0107484479040773,"5"
"2907","3,1,2,2,0,3,24",194.034426688458,0.0107537485777776,"2,3"
"2523","3,1,1,2,0,3,24",194.034195420669,0.0107537702982857,"2,3"
"3275","3,1,3,2,0,0,24",194.011317279149,0.0107559192140895,"2,3"
"2125","2,1,3,2,0,0,24",194.010301067113,0.010756014675601,"5"
"2525","3,1,1,2,0,3,24",193.97350800076,0.0107594715345746,"5"
"3196","3,1,3,1,0,3,24",193.964515550849,0.0107603165809353,"3,5"
"1744","2,1,2,2,0,0,24",193.955931876549,0.01076112327539,"2,5"
"2127","2,1,3,2,0,0,24",193.944092958147,0.0107622359971976,"3"
"1941","2,1,3,0,0,3,12",193.888238163397,0.010767487255929,"5"
"3387","3,1,3,3,0,3,24",193.867092370726,0.0107694759727756,"2,3"
"3285","3,1,3,2,0,3,12",193.853840801882,0.0107707224418669,"5"
"2126","2,1,3,2,0,0,24",193.817060640139,0.010774182813453,"2"
"3280","3,1,3,2,0,0,24",193.775796770901,0.0107780663469967,"2,5"
"1076","1,1,3,3,0,3,12",193.764967289337,0.0107790857914573,"3,5"
"1077","1,1,3,3,0,3,12",193.75555878592,0.0107799715489444,"5"
"1942","2,1,3,0,0,3,12",193.706671655206,0.0107845751681502,"2"
"1760","2,1,2,2,0,3,24",193.621565116495,0.0107925941992222,"2,5"
"3277","3,1,3,2,0,0,24",193.612542816638,0.0107934446608608,"5"
"1755","2,1,2,2,0,3,24",193.574839901399,0.0107969993450222,"2,3"
"3279","3,1,3,2,0,0,24",193.54867136884,0.0107994672395048,"3"
"2910","3,1,2,2,0,3,24",193.503949508052,0.0108036861618048,"2"
"2121","2,1,3,2,0,0,24",193.461520879466,0.0108076902712084,"0"
"2526","3,1,1,2,0,3,24",193.460296974189,0.0108078057966219,"2"
"890","1,1,3,1,0,3,24",193.424417269567,0.0108111930598833,"2,3,5"
"3278","3,1,3,2,0,0,24",193.400150605027,0.0108134845830107,"2"
"3266","3,1,3,2,0,0,12",193.299177550239,0.0108230247764753,"2,3,5"
"3178","3,1,3,1,0,0,24",193.279800828385,0.0108248565012493,"2,3,5"
"1757","2,1,2,2,0,3,24",193.227373064046,0.0108298141691572,"5"
"2890","3,1,2,2,0,0,24",193.163563910187,0.0108358511461694,"2,3,5"
"2506","3,1,1,2,0,0,24",193.162920933685,0.0108359119952282,"2,3,5"
"2911","3,1,2,2,0,3,24",193.135853375599,0.0108384738847306,"3"
"3372","3,1,3,3,0,0,24",193.132919923187,0.0108387515664305,"3,5"
"2527","3,1,1,2,0,3,24",193.124974874493,0.0108395036834327,"3"
"896","1,1,3,1,0,3,24",193.112430302502,0.0108406913199686,"2,5"
"978","1,1,3,2,0,3,12",193.103577663721,0.0108415295071689,"2,3,5"
"3273","3,1,3,2,0,0,24",193.083963854763,0.010843386816361,"0"
"3200","3,1,3,1,0,3,24",193.054699271029,0.0108461585871652,"2,5"
"1926","2,1,3,0,0,0,12",192.963292842786,0.0108548206347403,"2"
"1934","2,1,3,0,0,0,24",192.963292842786,0.0108548206347403,"2"
"992","1,1,3,2,0,3,24",192.939520477359,0.0108570745347588,"2,5"
"3002","3,1,2,3,0,3,24",192.919287798649,0.0108589931994756,"2,3,5"
"2618","3,1,1,3,0,3,24",192.917789898126,0.0108591352588467,"2,3,5"
"1758","2,1,2,2,0,3,24",192.890027286268,0.0108617685733417,"2"
"980","1,1,3,2,0,3,12",192.872859833856,0.0108633972447374,"3,5"
"2905","3,1,2,2,0,3,24",192.866577234333,0.0108639933342293,"0"
"3364","3,1,3,3,0,0,12",192.854023039021,0.0108651845671685,"3,5"
"2892","3,1,2,2,0,0,24",192.848635048667,0.0108656958587585,"3,5"
"2034","2,1,3,1,0,3,12",192.848029826559,0.0108657532926163,"2,3,5"
"2508","3,1,1,2,0,0,24",192.844512821524,0.0108660870524063,"3,5"
"3197","3,1,3,1,0,3,24",192.797895590805,0.0108705119433952,"5"
"2521","3,1,1,2,0,3,24",192.796595664963,0.0108706353577149,"0"
"989","1,1,3,2,0,3,24",192.72830457227,0.0108771208511258,"5"
"1925","2,1,3,0,0,0,12",192.727734708945,0.0108771749863894,"5"
"1933","2,1,3,0,0,0,24",192.727734708945,0.0108771749863894,"5"
"3268","3,1,3,2,0,0,12",192.724449987489,0.0108774870300797,"3,5"
"1371","2,1,1,2,0,3,24",192.693463207431,0.0108804311690388,"2,3"
"3180","3,1,3,1,0,0,24",192.690066587717,0.0108807539396517,"3,5"
"2130","2,1,3,2,0,3,12",192.684329596094,0.0108812991305518,"2,3,5"
"984","1,1,3,2,0,3,12",192.647639709467,0.0108847864458588,"2,5"
"892","1,1,3,1,0,3,24",192.576504184003,0.010891550948712,"3,5"
"1759","2,1,2,2,0,3,24",192.564027544147,0.0108927378252416,"3"
"1740","2,1,2,2,0,0,24",192.561251156479,0.0108930019547581,"3,5"
"1943","2,1,3,0,0,3,12",192.538159985761,0.010895198963777,"3"
"2042","2,1,3,1,0,3,24",192.469459732511,0.0109017380687958,"2,3,5"
"218","1,1,1,2,0,3,24",192.435519237448,0.0109049700795592,"2,3,5"
"2036","2,1,3,1,0,3,12",192.423712694354,0.010906094591676,"3,5"
"981","1,1,3,2,0,3,12",192.369454045215,0.0109112639383112,"5"
"893","1,1,3,1,0,3,24",192.368945370627,0.0109113124125035,"5"
"1075","1,1,3,3,0,3,12",192.366430130483,0.0109115521057126,"2,3"
"220","1,1,1,2,0,3,24",192.34174940384,0.0109139043682585,"3,5"
"1376","2,1,1,2,0,3,24",192.299586889588,0.0109179239523734,"2,5"
"3272","3,1,3,2,0,0,12",192.285754296043,0.0109192430119997,"2,5"
"3184","3,1,3,1,0,0,24",192.232588148539,0.0109243143559831,"2,5"
"2210","2,1,3,3,0,0,12",192.211047021724,0.0109263697636521,"2,3,5"
"1753","2,1,2,2,0,3,24",192.175299366056,0.0109297815809716,"0"
"1741","2,1,2,2,0,0,24",192.123078771944,0.0109347675186317,"5"
"1058","1,1,3,3,0,0,12",192.0848433757,0.0109384196145679,"2,3,5"
"1078","1,1,3,3,0,3,12",192.022364397682,0.0109443899881322,"2"
"1834","2,1,2,3,0,0,24",192.014378525794,0.0109451533378642,"2,3,5"
"1466","2,1,1,3,0,3,24",191.988956556557,0.0109475837155305,"2,3,5"
"3269","3,1,3,2,0,0,12",191.964730483988,0.0109499002658974,"5"
"2994","3,1,2,3,0,3,12",191.960346210505,0.0109503195521552,"2,3,5"
"2610","3,1,1,3,0,3,12",191.959985972576,0.0109503540039162,"2,3,5"
"2986","3,1,2,3,0,0,24",191.951932335192,0.0109511242509204,"2,3,5"
"2602","3,1,1,3,0,0,24",191.950784300691,0.0109512340529422,"2,3,5"
"1373","2,1,1,2,0,3,24",191.920672979025,0.010954114397875,"5"
"3181","3,1,3,1,0,0,24",191.873930191465,0.0109585871521946,"5"
"3090","3,1,3,0,0,3,12",191.864487673023,0.0109594909157591,"2,3,5"
"2132","2,1,3,2,0,3,12",191.832057759377,0.0109625954195234,"3,5"
"990","1,1,3,2,0,3,24",191.821913015082,0.0109635667527481,"2"
"2044","2,1,3,1,0,3,24",191.792368438633,0.0109663960604305,"3,5"
"1374","2,1,1,2,0,3,24",191.78792067517,0.0109668220594094,"2"
"1375","2,1,1,2,0,3,24",191.773461605867,0.0109682070380359,"3"
"1354","2,1,1,2,0,0,24",191.522699956027,0.0109922543713687,"2,3,5"
"603","1,1,2,2,0,3,24",191.43373314049,0.0110007987023619,"2,3"
"1742","2,1,2,2,0,0,24",191.427250942164,0.0110014215091522,"2"
"987","1,1,3,2,0,3,24",191.425533880095,0.0110015864896346,"2,3"
"991","1,1,3,2,0,3,24",191.404047479861,0.0110036511767191,"3"
"2896","3,1,2,2,0,0,24",191.398253868754,0.0110042079670123,"2,5"
"1842","2,1,2,3,0,3,12",191.394003446089,0.0110046164683494,"2,3,5"
"3098","3,1,3,0,0,3,24",191.375056255614,0.0110064376370557,"2,3,5"
"2706","3,1,2,0,0,3,12",191.289514457368,0.011014663508251,"2,3,5"
"2512","3,1,1,2,0,0,24",191.282335125033,0.0110153541668456,"2,5"
"985","1,1,3,2,0,3,24",191.281463454134,0.0110154380253628,"0"
"2978","3,1,2,3,0,0,12",191.229171636977,0.0110204698928201,"2,3,5"
"2594","3,1,1,3,0,0,12",191.229072634347,0.0110204794216933,"2,3,5"
"1060","1,1,3,3,0,0,12",191.22887601939,0.0110204983456491,"3,5"
"1356","2,1,1,2,0,0,24",191.225794713874,0.0110207949218872,"3,5"
"2891","3,1,2,2,0,0,24",191.211957482322,0.011022126856439,"2,3"
"2507","3,1,1,2,0,0,24",191.197446082102,0.0110235238575752,"2,3"
"2893","3,1,2,2,0,0,24",191.169024953067,0.0110262604504215,"5"
"3391","3,1,3,3,0,3,24",191.162898954095,0.0110268503951129,"3"
"1369","2,1,1,2,0,3,24",191.148754071111,0.0110282126933059,"0"
"1951","2,1,3,0,0,3,24",191.095019006572,0.0110333894688267,"3"
"2996","3,1,2,3,0,3,12",191.077156404706,0.0110351108698508,"3,5"
"2612","3,1,1,3,0,3,12",191.029518912483,0.0110397029604927,"3,5"
"2509","3,1,1,2,0,0,24",191.010805485528,0.0110415073933142,"5"
"3385","3,1,3,3,0,3,24",191.002055619155,0.0110423511959847,"0"
"2322","3,1,1,0,0,3,12",190.987134830527,0.0110437902468477,"2,3,5"
"970","1,1,3,2,0,0,24",190.947900814601,0.0110475751069858,"2,3,5"
"1458","2,1,1,3,0,3,12",190.885008510902,0.0110536449611767,"2,3,5"
"1826","2,1,2,3,0,0,12",190.87209657211,0.0110548915291664,"2,3,5"
"1739","2,1,2,2,0,0,24",190.872023161661,0.011054898616894,"2,3"
"690","1,1,2,3,0,3,12",190.863322643051,0.0110557386780782,"2,3,5"
"2894","3,1,2,2,0,0,24",190.855111488408,0.0110565315482539,"2"
"608","1,1,2,2,0,3,24",190.853515736239,0.0110566856408928,"2,5"
"607","1,1,2,2,0,3,24",190.84593106665,0.0110574180783159,"3"
"1937","2,1,3,0,0,3,12",190.83531422454,0.0110584434084878,"0"
"972","1,1,3,2,0,0,24",190.81388660143,0.0110605130882346,"3,5"
"3092","3,1,3,0,0,3,12",190.788268579358,0.011062988024206,"3,5"
"2510","3,1,1,2,0,0,24",190.77720103231,0.0110640574220939,"2"
"674","1,1,2,3,0,0,12",190.775413696561,0.0110642301324843,"2,3,5"
"1450","2,1,1,3,0,0,24",190.738518699374,0.0110677959011794,"2,3,5"
"1554","2,1,2,0,0,3,12",190.682763255868,0.0110731866447477,"2,3,5"
"786","1,1,3,0,0,3,12",190.680342807016,0.0110734207265397,"2,3,5"
"306","1,1,1,3,0,3,12",190.637021029173,0.011077611215943,"2,3,5"
"605","1,1,2,2,0,3,24",190.630287385245,0.0110782626996365,"5"
"1442","2,1,1,3,0,0,12",190.615636349919,0.0110796803276086,"2,3,5"
"1064","1,1,3,3,0,0,12",190.589313445291,0.0110822277764768,"2,5"
"2068","2,1,3,1,1,3,12",190.588856706047,0.0101077139331648,"3,5"
"3186","3,1,3,1,0,3,12",190.583953734554,0.0110827465443844,"2,3,5"
"2714","3,1,2,0,0,3,24",190.582383607902,0.0110828985219829,"2,3,5"
"2895","3,1,2,2,0,0,24",190.576931646388,0.0110834262510203,"3"
"290","1,1,1,3,0,0,12",190.551566374228,0.0110858818428592,"2,3,5"
"2511","3,1,1,2,0,0,24",190.533118076661,0.0110876681496168,"3"
"2212","2,1,3,3,0,0,12",190.468904546949,0.0110938880447278,"3,5"
"606","1,1,2,2,0,3,24",190.463622491568,0.0110943998340962,"2"
"2889","3,1,2,2,0,0,24",190.375501052505,0.0111029415876896,"0"
"1844","2,1,2,3,0,3,12",190.269652921689,0.0111132103125154,"3,5"
"2505","3,1,1,2,0,0,24",190.257822084052,0.0111143586564425,"0"
"2802","3,1,2,1,0,3,12",190.257453909978,0.0111143943946545,"2,3,5"
"2708","3,1,2,0,0,3,12",190.248472230667,0.0111152662710004,"3,5"
"962","1,1,3,2,0,0,12",190.207934282876,0.0111192022522874,"2,3,5"
"3004","3,1,2,3,0,3,24",190.185964054429,0.011121336006457,"3,5"
"2620","3,1,1,3,0,3,24",190.169138709576,0.0111229703650817,"3,5"
"3368","3,1,3,3,0,0,12",190.165237260668,0.0111233493732906,"2,5"
"586","1,1,2,2,0,0,24",190.157619796062,0.0111240894129302,"2,3,5"
"1743","2,1,2,2,0,0,24",190.139966590762,0.0111258046179365,"3"
"1851","2,1,2,3,0,3,24",190.136237994777,0.0111261669262848,"2,3"
"2330","3,1,1,0,0,3,24",190.130038025936,0.0111267694045024,"2,3,5"
"2418","3,1,1,1,0,3,12",190.11978840298,0.0111277654769541,"2,3,5"
"3003","3,1,2,3,0,3,24",190.104865076388,0.0111292159057823,"2,3"
"2619","3,1,1,3,0,3,24",190.10485877149,0.0111292165186083,"2,3"
"1650","2,1,2,1,0,3,12",190.101857405917,0.011129508250356,"2,3,5"
"2810","3,1,2,1,0,3,24",190.085239562857,0.0111311236376332,"2,3,5"
"2426","3,1,1,1,0,3,24",190.073578092919,0.0111322573657907,"2,3,5"
"601","1,1,2,2,0,3,24",190.055872662789,0.011133978908541,"0"
"1927","2,1,3,0,0,0,12",190.04776705611,0.0111347671255564,"3"
"1935","2,1,3,0,0,0,24",190.04776705611,0.0111347671255564,"3"
"3100","3,1,3,0,0,3,24",189.992955948021,0.0111400986104918,"3,5"
"1061","1,1,3,3,0,0,12",189.980360329327,0.0111413241489405,"5"
"588","1,1,2,2,0,0,24",189.975443871278,0.0111418025509388,"3,5"
"3373","3,1,3,3,0,0,24",189.968263775141,0.0111425012559328,"5"
"794","1,1,3,0,0,3,24",189.947233423936,0.0111445480003514,"2,3,5"
"3363","3,1,3,3,0,0,12",189.923553694766,0.0111468530411269,"2,3"
"2048","2,1,3,1,0,3,24",189.884723720046,0.011150633874511,"2,5"
"1562","2,1,2,0,0,3,24",189.883873894821,0.011150716635429,"2,3,5"
"1737","2,1,2,2,0,0,24",189.874713864118,0.0111516087314334,"0"
"2898","3,1,2,2,0,3,12",189.874453522305,0.011151634087183,"2,3,5"
"2514","3,1,1,2,0,3,12",189.874419912399,0.0111516373605928,"2,3,5"
"968","1,1,3,2,0,0,12",189.872674916872,0.0111518073143535,"2,5"
"2980","3,1,2,3,0,0,12",189.852174120378,0.0111538041824791,"3,5"
"874","1,1,3,1,0,0,24",189.828771377231,0.0111560841500968,"2,3,5"
"976","1,1,3,2,0,0,24",189.814242070598,0.0111574998745682,"2,5"
"2596","3,1,1,3,0,0,12",189.806089207372,0.0111582943619835,"3,5"
"2324","3,1,1,0,0,3,12",189.781999045559,0.0111606422519073,"3,5"
"219","1,1,1,2,0,3,24",189.775796752195,0.0111612468235424,"2,3"
"1082","1,1,3,3,0,3,24",189.765158711324,0.0111622838481342,"2,3,5"
"964","1,1,3,2,0,0,12",189.684137480232,0.011170185175899,"3,5"
"973","1,1,3,2,0,0,24",189.666786395547,0.0111718780100896,"5"
"2066","2,1,3,1,1,3,12",189.618106662471,0.0101985534652718,"2,3,5"
"1355","2,1,1,2,0,0,24",189.608446259454,0.0111775717651694,"2,3"
"1460","2,1,1,3,0,3,12",189.597421211182,0.0111786480900729,"3,5"
"3375","3,1,3,3,0,0,24",189.591336494839,0.0111792421574097,"3"
"3008","3,1,2,3,0,3,24",189.587322094816,0.0111796341114421,"2,5"
"2072","2,1,3,1,1,3,12",189.56846558923,0.0102032205894303,"2,5"
"2624","3,1,1,3,0,3,24",189.556316583408,0.011182661859995,"2,5"
"692","1,1,2,3,0,3,12",189.53463425105,0.0111847796691644,"3,5"
"1852","2,1,2,3,0,3,24",189.502172599915,0.0111879510917671,"3,5"
"3074","3,1,3,0,0,0,12",189.477149631648,0.0111903963872982,"2,3,5"
"3082","3,1,3,0,0,0,24",189.477149631648,0.0111903963872982,"2,3,5"
"698","1,1,2,3,0,3,24",189.442710501768,0.0111937627233551,"2,3,5"
"224","1,1,1,2,0,3,24",189.425163154146,0.0111954783207125,"2,5"
"1835","2,1,2,3,0,0,24",189.419706889657,0.0111960118311602,"2,3"
"2026","2,1,3,1,0,0,24",189.417941150367,0.0111961844895919,"2,3,5"
"965","1,1,3,2,0,0,12",189.411433097677,0.0111968208863553,"5"
"788","1,1,3,0,0,3,12",189.40794239625,0.0111971622431626,"3,5"
"223","1,1,1,2,0,3,24",189.404341715221,0.0111975143658141,"3"
"880","1,1,3,1,0,0,24",189.39912911159,0.011198024143392,"2,5"
"1556","2,1,2,0,0,3,12",189.367697990325,0.0112010985081774,"3,5"
"2988","3,1,2,3,0,0,24",189.356422653402,0.0112022015857169,"3,5"
"1360","2,1,1,2,0,0,24",189.335653892047,0.0112042336988434,"2,5"
"2604","3,1,1,3,0,0,24",189.329867128951,0.0112047999685771,"3,5"
"2018","2,1,3,1,0,0,12",189.324380806934,0.0112053368647653,"2,3,5"
"971","1,1,3,2,0,0,24",189.314278669748,0.0112063255358919,"2,3"
"221","1,1,1,2,0,3,24",189.308863588794,0.0112068555323543,"5"
"2716","3,1,2,0,0,3,24",189.29146571959,0.0112085585037115,"3,5"
"876","1,1,3,1,0,0,24",189.270798193876,0.0112105818581161,"3,5"
"3006","3,1,2,3,0,3,24",189.257131337923,0.01121192004634,"2"
"2622","3,1,1,3,0,3,24",189.241838511797,0.0112134176305732,"2"
"308","1,1,1,3,0,3,12",189.241387554304,0.0112134617946314,"3,5"
"2229","2,1,3,3,0,3,12",189.220310109328,0.0112155261865908,"5"
"2069","2,1,3,1,1,3,12",189.213726248794,0.0102366344799694,"5"
"3188","3,1,3,1,0,3,12",189.211990760413,0.0112163411146729,"3,5"
"676","1,1,2,3,0,0,12",189.188059130415,0.0112186856856704,"3,5"
"1059","1,1,3,3,0,0,12",189.16296180405,0.0112211449858962,"2,3"
"3369","3,1,3,3,0,0,24",189.162491370143,0.0112211910891094,"0"
"1828","2,1,2,3,0,0,12",189.149699875482,0.0112224447469595,"3,5"
"974","1,1,3,2,0,0,24",189.132870748888,0.0112240943349383,"2"
"1652","2,1,2,1,0,3,12",189.083337035478,0.0112289510279376,"3,5"
"1357","2,1,1,2,0,0,24",189.079416393354,0.011229335529703,"5"
"1062","1,1,3,3,0,0,12",189.054545740885,0.0112317749291358,"2"
"2035","2,1,3,1,0,3,12",189.045110081638,0.0112327005498155,"2,3"
"2045","2,1,3,1,0,3,24",189.028566891157,0.0112343235902489,"5"
"292","1,1,1,3,0,0,12",188.997111602754,0.0112374102927195,"3,5"
"222","1,1,1,2,0,3,24",188.996491212591,0.0112374711800356,"2"
"1359","2,1,1,2,0,0,24",188.996125988764,0.0112375070245663,"3"
"2804","3,1,2,1,0,3,12",188.9911079879,0.0112379995228688,"3,5"
"2690","3,1,2,0,0,0,12",188.98757885578,0.0112383459071159,"2,3,5"
"2698","3,1,2,0,0,0,24",188.98757885578,0.0112383459071159,"2,3,5"
"1836","2,1,2,3,0,0,24",188.97352938245,0.0112397249684997,"3,5"
"1358","2,1,1,2,0,0,24",188.964726229866,0.0112405891503128,"2"
"877","1,1,3,1,0,0,24",188.953562050087,0.0112416852033806,"5"
"3381","3,1,3,3,0,3,12",188.917999613682,0.0112451772890178,"5"
"1444","2,1,1,3,0,0,12",188.891196128175,0.0112478099984327,"3,5"
"975","1,1,3,2,0,0,24",188.887355100246,0.0112481873248694,"3"
"2987","3,1,2,3,0,0,24",188.858274771732,0.0112510444648181,"2,3"
"2603","3,1,1,3,0,0,24",188.850072962949,0.0112518504230751,"2,3"
"1468","2,1,1,3,0,3,24",188.834759630519,0.0112533553562497,"3,5"
"1948","2,1,3,0,0,3,24",188.796358013442,0.0112571301992122,"3,5"
